XYZ (13541 points)
4453.523 5243.698 70.054
4511.385 5150.510 70.016
4539.645 5102.741 70.013
4605.668 4916.149 70.000
4604.536 4878.785 70.000
4603.405 4841.420 70.000
4604.879 4766.029 78.731
4607.485 4728.001 90.008
4683.541 4675.662 90.066
4733.899 4629.426 90.071
4809.266 4562.150 90.000
4876.041 4553.871 90.000
5038.794 4492.823 90.000
5062.063 4485.867 90.000
4685.518 4141.331 86.725
4701.183 4143.407 90.000
4569.044 4394.432 99.992
6990.265 3938.894 70.000
6960.664 3935.129 70.000
6931.063 3931.364 70.000
6901.462 3927.599 70.000
7049.903 4023.001 57.518
7039.891 3996.220 60.001
7029.878 3969.440 62.061
6756.652 4295.282 68.331
6779.980 4276.397 69.998
6803.308 4257.513 69.994
6826.636 4238.628 69.989
6849.964 4219.744 69.987
6873.292 4200.859 69.990
6896.620 4181.975 69.992
6919.948 4163.090 69.988
6943.276 4144.205 69.994
6966.604 4125.320 69.999
6989.932 4106.436 69.437
7013.260 4087.551 60.564
7036.588 4068.667 59.883
6649.540 4247.999 70.000
6662.341 4266.008 70.000
6676.606 4286.076 70.000
6692.653 4308.652 69.745
6425.146 4541.365 62.335
6441.458 4517.532 69.438
6457.509 4494.082 69.999
6473.191 4471.168 70.000
6488.427 4448.908 69.909
6503.165 4427.375 70.000
6517.381 4406.605 69.998
6531.075 4386.597 69.998
6544.269 4367.321 70.000
6556.996 4348.727 70.000
6569.302 4330.747 70.000
6581.241 4313.303 69.999
6592.871 4296.312 70.000
6604.250 4279.685 70.000
6615.443 4263.332 70.000
6626.511 4247.162 70.000
6448.028 3850.426 70.000
6422.493 3868.581 70.007
6396.958 3886.736 70.012
6371.422 3904.891 70.012
6345.887 3923.046 70.007
6320.352 3941.201 69.989
6294.817 3959.356 70.001
6269.282 3977.511 70.007
6243.747 3995.666 70.000
6218.212 4013.821 70.055
6192.677 4031.976 70.000
4590.672 4393.850 99.994
7223.163 3464.291 70.000
7266.871 3441.900 59.202
7310.579 3419.508 48.453
7354.288 3397.116 48.090
7145.792 3592.844 58.051
7162.623 3539.764 70.000
6913.849 3686.758 70.000
6924.411 3684.753 67.903
6935.866 3682.579 70.000
6948.831 3680.118 70.000
